2026-03-24 16:42:57,428 | INFO | pages.base_page | TYPE into ('id', 'user-name'): 'standard_user'
2026-03-24 16:42:57,617 | INFO | pages.base_page | TYPE into ('id', 'password'): 'secret_sauce'
2026-03-24 16:42:57,794 | INFO | pages.base_page | CLICK element : ('id', 'login-button')
2026-03-24 16:42:58,053 | INFO | pages.base_page | WAIT URL contains: inventory
2026-03-24 16:42:58,059 | INFO | pages.base_page | CLICK element : ('id', 'add-to-cart-sauce-labs-backpack')
2026-03-24 16:42:58,164 | INFO | pages.base_page | CLICK element : ('id', 'add-to-cart-sauce-labs-fleece-jacket')
2026-03-24 16:42:58,264 | INFO | pages.base_page | CLICK element : ('xpath', "//a[@class = 'shopping_cart_link']")
2026-03-24 16:42:58,425 | INFO | pages.base_page | CLICK element : ('id', 'checkout')
2026-03-24 16:42:58,573 | INFO | pages.base_page | TYPE into ('id', 'first-name'): 'Hitesh'
2026-03-24 16:42:58,749 | INFO | pages.base_page | TYPE into ('id', 'last-name'): 'Rajput'
2026-03-24 16:42:58,907 | INFO | pages.base_page | TYPE into ('id', 'postal-code'): '110030'
2026-03-24 16:42:59,051 | INFO | pages.base_page | CLICK element : ('id', 'continue')
2026-03-24 16:42:59,220 | INFO | pages.base_page | WAIT URL contains: checkout-step-two
2026-03-24 16:42:59,307 | INFO | pages.base_page | CLICK element : ('id', 'finish')
2026-03-24 16:42:59,414 | INFO | pages.base_page | WAIT URL contains: checkout-complete
2026-03-24 16:42:59,494 | INFO | pages.base_page | CLICK element : ('id', 'back-to-products')
2026-03-24 16:43:04,821 | INFO | pages.base_page | TYPE into ('id', 'user-name'): 'standard_user'
2026-03-24 16:43:04,962 | INFO | pages.base_page | TYPE into ('id', 'password'): 'secret_sauce'
2026-03-24 16:43:05,081 | INFO | pages.base_page | CLICK element : ('id', 'login-button')
2026-03-24 16:43:05,209 | INFO | pages.base_page | WAIT URL contains: inventory
2026-03-24 16:43:10,047 | INFO | pages.base_page | TYPE into ('id', 'user-name'): 'locked_out_user'
2026-03-24 16:43:11,116 | INFO | pages.base_page | TYPE into ('id', 'password'): 'secret_sauce'
2026-03-24 16:43:11,417 | INFO | pages.base_page | CLICK element : ('id', 'login-button')
2026-03-24 16:43:17,561 | INFO | pages.base_page | TYPE into ('id', 'user-name'): 'problem_user'
2026-03-24 16:43:18,641 | INFO | pages.base_page | TYPE into ('id', 'password'): 'secret_sauce'
2026-03-24 16:43:18,806 | INFO | pages.base_page | CLICK element : ('id', 'login-button')
2026-03-24 16:43:19,044 | INFO | pages.base_page | WAIT URL contains: inventory
2026-03-24 16:43:24,249 | INFO | pages.base_page | TYPE into ('id', 'user-name'): 'performance_glitch_user'
2026-03-24 16:43:24,432 | INFO | pages.base_page | TYPE into ('id', 'password'): 'secret_sauce'
2026-03-24 16:43:24,562 | INFO | pages.base_page | CLICK element : ('id', 'login-button')
2026-03-24 16:43:29,697 | INFO | pages.base_page | WAIT URL contains: inventory
2026-03-24 16:43:34,756 | INFO | pages.base_page | TYPE into ('id', 'user-name'): 'error_user'
2026-03-24 16:43:34,890 | INFO | pages.base_page | TYPE into ('id', 'password'): 'secret_sauce'
2026-03-24 16:43:34,993 | INFO | pages.base_page | CLICK element : ('id', 'login-button')
2026-03-24 16:43:35,105 | INFO | pages.base_page | WAIT URL contains: inventory
2026-03-24 16:43:39,944 | INFO | pages.base_page | TYPE into ('id', 'user-name'): 'visual_user'
2026-03-24 16:43:40,036 | INFO | pages.base_page | TYPE into ('id', 'password'): 'secret_sauce'
2026-03-24 16:43:40,122 | INFO | pages.base_page | CLICK element : ('id', 'login-button')
2026-03-24 16:43:40,218 | INFO | pages.base_page | WAIT URL contains: inventory
2026-03-24 16:43:44,932 | INFO | pages.base_page | TYPE into ('id', 'user-name'): 'wrong_user'
2026-03-24 16:43:45,081 | INFO | pages.base_page | TYPE into ('id', 'password'): 'secret_sauce'
2026-03-24 16:43:45,194 | INFO | pages.base_page | CLICK element : ('id', 'login-button')
2026-03-24 16:43:49,826 | INFO | pages.base_page | TYPE into ('id', 'user-name'): 'standard_user'
2026-03-24 16:43:49,957 | INFO | pages.base_page | TYPE into ('id', 'password'): 'wrong_pass'
2026-03-24 16:43:50,033 | INFO | pages.base_page | CLICK element : ('id', 'login-button')
